	평점	일시	감상평
19	10	2019.12.31 23:08	무조건 봐야됨 아니 진짜 봐야됨 명작이다
20	8	2019.12.31 10:23	진주만에 가려져 있던 미드웨이 전쟁 실화의 완벽한 고증..  그 속에 수많은 전쟁영웅들.. 이들이 없었다면 세계지도가 바뀌었을수도..
21	10	2020.01.01 10:59	이런 영화가 천만 가야지!!
22	10	2019.12.31 11:12	추천누르면 새해복많이받음
23	10	2019.12.31 09:45	추천 누르면 애국심 비추천은 쪽바리
24	9	2019.12.31 11:12	일본애들 갑판위에서 폭탄 터트릴때 속이 다 후련하더라
25	10	2019.12.31 16:06	백두산이니 시동이니 영화같잖은 티비 드라마 같은건 아에 영화관에서 못걸게 법으로 막아야됨. 이게 영화의 기본이다..기본만도 못한 걸 제일 큰 상영관에서 하고 이런걸  소극장 같은데서 상영하고 앉아 있으니 기가 찬다.. 
26	10	2019.12.31 12:09	박평식은 불쌍하다. 이런 영화도 4점 주니
27	10	2019.12.31 09:50	전쟁영화는 이래야제 이래야 전쟁영화제
28	9	2019.12.31 12:00	일본 후두려 패는것만으로도 재밌음
29	10	2019.12.31 10:45	한국영화보다 좋아. ㅋㅋㅋ 명백한 사실.
30	10	2020.01.01 15:50	10점 줘도 모자라다 하늘에 있는 별 다 주고 싶다 진심
31	10	2020.01.03 17:07	제발 친북반미 백두산은 상영관에서 꺼져라
32	10	2020.01.01 08:34	이 영화는 밀덕들을 향한 최고의 선물이다. 지옥에 가라! Jap
33	10	2020.01.01 00:33	영화는 실제 기록들과 오래된 클래식 영화들의 특수효과를 적용한 영상을 보여주고 있으며 모든 영상의 패치워크 기법으로... 마치 다큐를 만들듯 만든 대단한 영상미를 자랑한다.
34	10	2019.12.31 11:59	진짜 미국 비행기가 일본함선에 폭격날릴때 전율
35	10	2019.12.31 09:15	2019년 마지막 영화가 쓰레기 “백두산”이 아니어서 정말 다행이다 고맙다 “미드웨이”
36	10	2019.12.31 23:37	숨겨진 영웅을 만나는 듯한 영화
37	10	2019.12.31 11:55	존잼쓰... 시간이136분 짜리인지 몰랐음그냥 미친듯이 빨려들어가서 봤는데 아침부터 흥분이 가라앉지않음ㅋㅋㅋ 꼭 보세연 일본함대 폭파시킬때 가슴뻥뚫림. 진짜 잘봤다 bbbb
38	10	2019.12.31 17:25	말이 필요없음. 최고의 전쟁영화인듯
39	10	2019.12.31 14:15	비겁한 일본을 상대로 통쾌한 복수극..미드웨이 > 백두산
40	10	2020.01.01 16:06	공중전은 진짜 역대급입니다.비행기 쫒아 제 목도 함께 돌아가더이다.
41	10	2019.12.31 17:47	다들 스탈린 그라드가 2차 세계대전의 전부인 줄 안다. 하지만 태평양 전쟁에서 일본군을 박살내지 않았다면 우리를 포함한 아시아 국가들의 식민지 생활은 계속되었을 것이다.태평양 전쟁에서 용맹하게 싸웠던 미합중국 해군과 육군 항공대의 모든 용사들에게 경의를 표합니다. 
42	10	2020.01.01 12:25	시원시원한 영화.근데 미국과 맞짱 뜬 일본 너희들은 도대체...
43	10	2019.12.31 11:11	이런 영화를 극장에서 봐야지ㄷㄷ 상영관 너무 없어서 아쉬움ㅠ
44	10	2019.12.31 23:23	스토리는 다들 아는 그대로예요Ost가 웅장하고 영화 컨셉, 장면에 어울리기 때문에 되게 쉴 틈 없이 긴장하면서 봤습니다그만큼 연출을 잘 했다 생각하고?배우들 연기력도 훌륭합니다 전우애를 잘 나타낸 데다가 본인 캐릭터를 다들 잘 역할했어요스케일이 크기 때문에 cg가 완벽하진 않지만 괜찮은 수준입니다전쟁은 절대 있어서는 안 된다는 생각이 들었어요명작인지 아닌지 판단하는 것은 개인의 평가에 달렸다고 생각해요저는 2019년의 마지막 날을 이렇게 마무리짓게 돼서 좋네요 
45	9	2019.12.31 21:34	미드웨이 해전 진행과정을 엑기스만 모아서 만든 영화. 불필요한 장면은 정말 과감하게 컷하고 보여주고싶은 에피소드를 전부 보여주기위해 열심히 압축한 느낌이 듭니다.
46	10	2020.01.01 19:55	미드웨이에 갔다 온 기분이었다
47	10	2019.12.31 09:45	진주만 재밌게 보셨던 분들이면 괜찮을 영화. 월드타워 시사회로 봤는데 되게 괜찮았어요
48	10	2019.12.31 14:46	쓰레기 백두산 내리고 아미맥스관에서 상영 해라... 백두산을 아이맥스관으로 상영 하다니.... 너무 심하잖아...
49	10	2019.12.31 22:47	BOB 이후 오랜만에 천조국을 다시 찬양하게 되었다~
50	10	2019.12.31 12:16	대한민국 독립의 초석을 놓아준 미드웨이 용사님들의 용기와 헌신에 진정어린 감사를 표합니다. 한미혈맹 포에버~~!!!
51	10	2019.12.31 16:09	아니 스케일 크고 화려하고 개재미있는데 어째서 잴 작은 상영관에서만 상영을 하는거지? 잴 큰대는 십두산이 다 차지함..;;;
52	10	2020.01.01 11:19	전쟁액션 영화 끝판왕 입니다!!시간기는줄모르고 몰입한 인생영화!!
53	10	2020.01.01 16:09	퀄리티가 너무 높고 너무 재미있었다
54	10	2020.01.03 22:01	백두산 상영관보다 미드웨이 상영관을 늘려야지...백두산 진심 다보고 나서 왜봤는지 후회되던데.
55	10	2019.12.31 11:25	세계대전에 대한 공부를 하는데도 너무 좋을 것 같다 고증이 깔끔하게 아주 잘된 전쟁영화, 액션을 말할 것도 없고 마지막 전투 부분 쾌감쩜 ㄷㄷ
56	10	2019.12.31 19:55	박평식 저사람은 대체 무슨 어떤 생각을 가지고 있길래 폭격기들의 행동들을 생각없다고 할 수 있는건지 진짜 궁금하다.
57	10	2019.12.31 16:26	정말 재밌게 봤습니다 아쉬운점은 일본은 처참하게 당하고 원자폭탄 투하 장면까지 나왔으면 더 최고였을 것 같네요
58	10	2019.12.31 16:38	이렇게 좋은 영화는 상영관 대폭 늘려야 합니다
59	9	2020.01.02 20:35	최고네요 스크린 독과점 하는 국내영화들보다 돈값 훨씬 잘합니다.
60	10	2020.01.01 20:16	별 기대 안하고 봤는데 ㅎㅎ지금 개봉한 어떤 영화보다 재밌습니다 ㅎㅎ 강추 ㅎㅎ
61	10	2019.12.31 11:24	롤랜드 에머리히 감독 최고작인듯, 개인적으로 진주만도 뛰어넘었다고 본다. 한 영화에서 진주만, 둘리틀 공습, 미드웨이 해전까지 모두 볼 수 있다니 그리고 액션까지 개쩜! 황홀했다
62	8	2020.01.02 16:03	심장이 쫄깃쫄깃.전쟁영화 그닥인 여자인 내가 봐도 시간가는줄 모르고 봄.뭔가 가슴도 뭉클함.우리나라도 전쟁 영웅 좀 제대로 우대해줬음 좋겠다.
63	10	2019.12.31 12:19	백두산좀 제발 내려 주세요.왜놈들 때려잡는거 보고 싶어요 .북한 브로맨스 너무 지겹습니다
64	10	2019.12.31 13:46	쓰레기같은 한국영화랑은 급이 다른 영화. 단순 자본의 차이가 문제가 아님 ㅋ
65	9	2020.01.03 15:35	한국은 흉내조차 못낼 CG
66	10	2019.12.31 10:49	몰입도 긴장감 대박ㅠㅠ 팝콘 사서 그대로 들고 나옴... 여러분 미드웨이 꼭 보세요
67	10	2020.01.02 00:28	첫번째는 어마어마한 스케일에 일단 감동.두번째는 나라를 위해 일본과 싸우는 미국 젊은의들의 용기와 기백에 감동 눈물.세번째는 미국의 승전으로 지금 우리나라도 일본말을 하지 않는걸 감사하게 생각하게되는 명작입니다.
68	8	2020.01.01 12:13	상대적인 저예산으로 만들어진 영화치고는 괜찮게 만들어진거 같습니다 대신 영화보기전 미드웨이 해전에 대한 어느정도의 정보습득은 필요해보이네요
69	10	2019.12.31 17:11	영화 진주만에서 로맨스 쫙 빼면 딱 이런 느낌.미드웨이 정말 스펙타클하고 재밌는 전쟁영화
70	9	2020.01.02 21:34	솔직히 백두산보다 재밌음;
71	10	2020.01.01 16:21	도쿄대공습과 맨해튼 계획도 영화로 만들기를 바랍니다.
72	10	2019.12.31 13:46	무조건 봐라 대작이다. 무조건 봐라 대작이다.
73	10	2020.01.04 17:56	전투신도 좋지만 미국 일본 첩보전과 두나라의 조직문화를 비교해서 보시면 더 잼나요
74	8	2020.01.03 21:05	군인들이 넘 존경스러워요..!! 넘 멋져 군인오빠들 ㅠㅠ 우리나라도 미국처럼 군인들을 좀 더 대우해주길..
75	9	2019.12.31 22:08	136분 금방 가네요. 전투씬 최고에요! 계속 출격하는 만큼 전투씬도 많아요.4D로 보면 더 좋을듯.
76	10	2019.12.31 16:35	뭔가 통쾌상쾌 ㅋㅋㅋㅋ
77	10	2019.12.31 12:21	오랜만에 보는 제대로 된 전쟁영화
78	10	2020.01.01 01:31	별거 아니지...저거 CG잖아...하고는... 급강하 폭격기 내리꽂는 장면에서 주먹을 꽉 쥐고 있는 나를 발견했다...
79	8	2020.01.01 10:40	사실을 미화하지안코 적절하게 연출룰 달한 영화
80	10	2020.01.01 16:44	진주만이후 최고의 전쟁영화 진주만 보신분이라면 꼭 보세요 갸꿀잼
81	10	2020.01.06 01:15	일본 함공모함 갑판 일장기는 아주 좋은 표적지였다
82	10	2019.12.31 23:27	꼭 봐야합니다왜냐하면 일본이 미국한테 깨지거든요
83	10	2019.12.31 15:53	개재밌어요 두번봐도 재밌을듯
84	10	2019.12.31 15:08	와 부모님과 보고 싶어서 한달을 기다렸는데 다 백두산이 점령했네  큰 스크린 내놔라 이것들아
85	10	2020.01.01 15:30	미드웨이 해전에 대해 잘 알려주는 영화입니다.
86	10	2020.01.02 16:37	뭐 말이 필요함? 20분 정도 된거 같은데.. 끝났다..혹시 후속편으로 둘리도 나옴?
87	10	2019.12.31 16:57	19년도마지막 최고의영화였다.
88	8	2020.01.01 15:19	명불허전. 전쟁사를 알면. 더 재미있는영화 ~~^^
89	10	2019.12.31 20:06	잡스런 로맨스없이 전쟁과 병사들 자체에만 집중해서 좋았음. 전쟁영화에서 기대하는것을 아낌없이 , 너무 아낌없어서 나중엔 지치도록 보여주는 영화. 2차대전때 비행기와 군함들이 어떻게 싸웠는지 생생하게 보고싶다면 극장서 필수관람! 
90	10	2019.12.31 15:53	왜족이 끔찍히 싫어할 영화.공중전 압권임.
91	10	2019.12.31 16:33	개꿀 일본 이길때 전율이 뜨어억
92	10	2020.01.03 13:20	전달하려는 스토리가 명확하고 전투신도 화려함.
93	10	2019.12.31 15:59	그냥 정말 시작부터 끝까지 항공모함과 전투기 장난아닌 스케일과 몰입도 근 몇년간 영화중에 최고인듯 어벤저스엔드게임에 실망하신분들을 위한 영화
94	10	2020.01.01 18:51	와.  손에 땀난다는게 이런건가ㅋㅋ
95	10	2019.12.31 22:47	수작입니다 굉장히 잘만든 전쟁영화. 미국의 참전용사 예우는 세계제일.
96	10	2020.01.01 13:05	미드웨이해전처럼 과거사반성없는 일본우익과 아베총리를 혼내주자 막판에 항모히류의 일장기에 폭탄꽂아넣는 장면이 일품이었다
97	10	2020.01.06 07:44	쓸데없는 로맨스 이런 거 안나와서 더 재밌게 본 거 같아요 실화인데 내용에 집중할 수 있어서 좋았네요 ㅎㅎ
98	10	2020.01.01 23:15	긴 상영시간이 전혀 느껴지지 않을 만큼 순식간에 지나갔어요. 그럼에도 감동, 뭉클함, 긴장감, 전투씬연출에 넋이 나가고 집중했던 영화였습니다. 강추는 이럴때 쓰는 말이죠.
99	8	2019.12.31 18:42	이래서 방산비리는 무서운것이다 영화 중반 기습할때 어뢰  불발나는거 봤으면 이해될것이다 그것도 생생하게
100	9	2019.12.31 12:36	초반부터 후반까지 아가리 터는거 거의 없이 전투 장면이 계속되는데 특히 함대 폭격씬이 그야말로 쫄깃합니다.볼만합니다.
101	10	2020.01.03 19:26	한국은 미국을 보고 배워야한다. 지금 미일 동맹관계에 있고 미중대립관계에 있지만 미드웨이 전 당시는 정반대였던 사실을 이 영화가 그대로 연출했다. 백두산 봐라..비록 픽션이긴 하지만 70여년의 동맹을 잊어버리고 미국을 적으로 분류시키고 북한 스파이와 끈끈한 우정을 나누고 목숨을 거는 장면을 연출을 하는거에 화산폭발보다 내 속에 끓어오르는 분노폭팔을 감출수가 없었다.. 
102	9	2019.12.31 15:37	그다지 큰 기대는 안하고 갔는데 2시간좀 넘는 시간내내 거의 몰입해서 봤다. 실화를 바탕으로 한 전쟁영화답게 웃기거나 유쾌한 장면은 없지만 정말 소설보다 더 놀라운 사실이나 미드웨이해전의 역사적인 5분을 기가막히게 표현한 부분은 어떤 전쟁영화보다 놀랍다. 특히나 예전에 나온 진주만 영화보다 더 극적이고 CG도 발전하여 사실적이었다. 재미있다. 
103	10	2020.01.01 16:28	일본이 이겼다면 지금 나는 쪽바리 국민이 되었겠지? 하며 안도의 한숨을 쉬어본다. 하지만....지금 현실은 일본에서 독립을 넘어 공산화중.... 자유를 사랑하는 사람이라면 독립운동하는 결사항전의 자세로 이 정권을 무너뜨려야 한다!!! 
104	10	2019.12.31 13:26	CGV에서 10분 짤라서 좀 개연성이 없는거 같던데 그만 좀 짜르지
105	10	2020.01.01 12:38	또 평론가들 되지도 않는 점수 매겨놓은거 봐라 허무맹랑 스토리에 싸구려 CG떡칠 백두산이 미드웨이 해전보다 평점이 높다니 역시 친북적인 요소가 가미되지 않아서인가? 실화 기반 영화인 &#39;미드웨이&#39;가 스토리도 좋고 영상미도 높고 무엇보다 한 시대를 풍미했던 역사를 가진 미국과 일본 모두 부럽고 배울점이 많다. 
106	10	2020.01.01 19:09	일본 미화라던지 이상한 소리하는 사람들 있는데 이거 실화고증 거의 완벽히 된거임. 작중 야마모토 사령관도 실제로도 저렇게 탈출거부하고 전함과 함께 사망했음. 저당시 일본이 얼마나 골치 아프면 미국이 다 이긴 전쟁에 핵폭탄을 떨궜겠는지 생각해봐라. 이 영화는 인물간 스토리 전혀 없고 해설 없는 다큐나 마찬가지라 잘 모르는사람들에게는 그냥 박평식 말대로 총알비 내리는 비행기 게임처럼 보일수 있음. 사전 배경지식을 잘 모르고가는 사람들은 자기 보고 싶은대로만 생각 할수 있으니 미리 좀 어느정도는 알고 가길 바람 
107	8	2019.12.31 13:15	진주만리공습부터 이어오는 너무 많은 내용을 보여줄라고해서 미드웨이해전, 태평양전쟁을 잘모르는 사람들은 이해가 잘않갈수 있고 산만해질수도 있는 영화이지만..전투신이나 영상은 언빌러블함..
108	10	2019.12.31 23:49	시간가는 줄 모를 정도로 박진감 넘치는 영화였습니다! 마지막 부분에서 영화 속 인물이 나중에 어떻게 되는지를 보여준 것도 좋았습니다.
109	10	2020.01.02 21:34	재밌어요 ㅋㅋ 연출이 죽여줍니다
110	10	2019.12.31 23:05	와 이영화는 포디엑스로 꼭 봐주세요 백두산같은 반미영화 나오는시점에서 적절한 팩트폭팩 영화네요 미드웨이에서 미국이 졌으면 아직 광복 못했을수도 있습니다 연출 연기 모두다 대만족입니다. 곡성 일본인 나오는건 조금 몰입에 방해되지만 영화가 수작이라서 기분좋게봤습니다 
111	10	2019.12.31 12:02	올해 최고의 영화!!엄지척!!!취향이겠지만 상영관수가 적어서 시간선택이 자유롭지 못해 아쉬웠습니다~ 백두산을 줄이고 좀 늘리는게 맞을듯!!!!
112	10	2019.12.31 22:08	I-Max면 더 좋았을 것을..
113	10	2019.12.31 12:57	고증에 철저하고 영상미가 대박입니다... 진짜 그 현장을 보는 것 같습니다.
114	10	2019.12.31 16:55	백두산 개봉관 반만되도백두산 엎을듯 일본군 잔인함이 덜표현된거 빼고 다만족했습니다웰메이드 영화
115	10	2019.12.31 15:58	백두산하고 비교되네요. 긴장감 넘치게 잘봤어요
116	10	2019.12.31 12:55	핵심사실들을 잘 꼽아내었다.전투장면도 너무 좋았고 급폭하강시의 사운드란....크...재및게 잘봤습니다.해전게임하러 가야지...
117	10	2019.12.31 12:03	진심 재밌음 이게 왜 이제야 나오는지 ..일본 폭격때리는 맛이 있음
118	8	2019.12.31 11:37	역사적 기반의 스토리라 내용은 뻔한데 전개방식이 긴장을 뺐다 넣었다 해야하는데 급박한 느낌이 덜했던 느낌.... 영상미나 생각없이 보면 재미있는 영화임
119	10	2020.01.03 18:49	생생한 전쟁 다큐같은 엄청난 작품.. 미드웨이 해전의 급강하 폭격기 조종사로 빙의되어 생생히 전투에 참여한 느낌이었슴... 라이언일병 구하기 이후에 내겐 최고의 전쟁영화였슴. 어설픈 휴머니즘 없이 철저한 사실에 입각했지만 그 이야기가 너무나도 천운에 천운이 겹친 극적인 승리라는데 오히려 더 감동적임. 
120	10	2019.12.31 22:20	진짜 이건 영화관에서 보세요최근 본 영화중에 최곱니다.
121	8	2019.12.31 23:23	실제로 진주만 공습당시는 일본이 강력했다 제대로 알고 까자 미드웨이 해전에서 기적적으로 승리하여 공세가 바뀌었다 영화는 액션은 조금 지루했지만 일본을 격퇴하는 영화는 언제나 재밌다
122	10	2019.12.31 22:04	전반적으로 고증을 잘했고 레이먼드 스프루언스의 비중이 너무 약했고 CG가 빈약하다는 평단의 소문과 달리 독파이트를 가장 박진감 있게 연출한 것 같음. 벤 애플렉의 진주만보다 훨 나음.
123	10	2020.01.01 11:20	좀 너무심한거 아닌가?  인디펜던스데이.스타게이트.2012.만든 감독의 액션대작이 한국영화 시동보다 상영횟수가 작다니 ??백두산 상영횟수의 3분의1이라니 새해벽두에 눈호강 좀 하게 개봉관 늘려주세요 쫌!
124	10	2020.01.01 00:07	올해 본영화중에 원탑이다 라고 할수있다
125	10	2019.12.31 23:05	최고의 전쟁영화로 꼽힐 것 같습니다 ..
126	10	2020.01.02 21:34	덩케르크 와 진주만 을 합쳐놓은 보기드문 명작 향후 전쟁영화 TOP5 안에 들어갈듯 백두산 점유율 줄이고 미드웨이 점유율좀 늘려주세요.
127	10	2019.12.31 11:59	미드웨이 해전 역사교육용이며 미국우월주의식의 미국뽕도 없어서 아주 재밌게 잘 보았습니다.
128	10	2020.01.02 23:27	액션 연출도 대단하지만,전쟁은 절대로 일어나서는 안됨을 알려주는 영화.전쟁의 희생자 중에 가족, 사랑하는 사람이 없는 사람은 한명도 없으며,죽고싶은 사람도 한명도 없다.
129	10	2020.01.06 15:53	군인들이 진짜 대닥한거 같다미국이 아니였다면 우리는 독립을 못했을거것이다우리는 북한,중국이 아닌 미국편이여야 하고 미국에게 감사해야 한다
130	9	2020.01.01 12:21	조조로  보았는데   잠이  확 깨었습니다울장한 스케일.. 최고.. 재미있습니다
131	6	2019.12.31 13:25	역시 뛰어난 그래픽과 훌륭한 영상미가 압도적이지만 스토리는 솔직히 글쎄요 입니다.. 볼만은 하지만 잘 만들었다곤 못하겠네요.. 갠적으론 미드웨이 주둔 군 비행사들의 처절한 고군분투와 uss요크타운의 맹활약이 미드웨이 해전의 중요한 키포인트라고 생각했는데 진주만 공습부터 많은 걸 담아내다 보니 정작 영화 제목에 있는 미드웨이 해전은 완벽하게 담지 못한것이 아쉽습니다. 하지만 흔치않은 태평양전쟁 영화에 볼거리 만큼은 아주 충실합니다. 이상입니다. 
132	10	2019.12.31 22:23	해전에서 공습장면은 전투기 게임하는 느낌이였고 수직낙하할때 미친듯했음. 내가 베스트 뒷자리 앉았던 군인였으면 미쳤을듯.. 그리고 세세한 역사적 사건,인물이 나와서 좋았음(미국식 국제시장 전쟁편 느낌)각자의 위치에서 전쟁을 필사적으로 수행하는 군인들의 노고가 진짜 멋있었음 진짜 영화 보고나면 존경심 생김 여자이지만, 전쟁나면 전쟁터에 뛰어들어가서 총질은 못해도 저런 분들을 서폿하거나 응급처치술 배워서 치료하는 위생병?같은거라도 하고싶었음 
133	10	2019.12.31 22:00	영화 잘 만든 거 같음
134	10	2019.12.31 17:08	오늘보고왔는데 최고임!!!!꼭영화관에서 봐야하는영화다
135	10	2019.12.31 16:28	기대 안 하고 봤는데 전투씬이 볼만 함. 특히 공중전...
136	10	2019.12.31 18:27	좌빨평론가의 딜레마 ㅋㅋㅋㅋ 일본줘터지는 영화에 높은 점수 주자니 미국이 돋보이네???
137	9	2020.01.06 08:11	일본제국의 항공모함이 우수수 격침되는 장면을 보고 싶어 관람했고 스토리는 이미 태평양 전쟁사 다룬 서적을 꽤 읽어 이미 알고 있어 넘어감...기대대로 액션신 만족시켜 주었고 그 외에 당시 미국, 일본제국의 복장, 건물, 무기 같은 고증도 충실해서 역덕 입장에서 눈호강 좀 했음. 
138	10	2020.01.01 23:38	재미있게 잘봤습니다.
139	10	2020.01.01 21:57	정말 잘만들어진 영화볼거리 최고
140	10	2020.01.01 20:29	꼭   보세요~~~  강추  강추
141	10	2019.12.31 15:44	1976년에 2030세대였던 부모님이 느꼈던 감동을 2019년 2030세대 자식들이 느낄수 있습니다
142	10	2020.01.03 16:40	영화보는 내내 몰입하게 만듬.치열한 정보,두뇌싸움이 긴장감을 더함.
143	10	2020.01.01 02:21	전투씬이 나올때마다 개소름. 지리면서 봤습니다. 느므느므느므 멋있고 암튼 최고의 전투씬에 눈호강 제대로 함 ㅠㅜ 정말이지 파일럿은 아무나 하는게 아닌거같음.
144	8	2019.12.31 23:45	전투씬이 나올때마다 개소름. 지리면서 봤습니다. 느므느므느므 멋있고 암튼 최고의 전투씬에 눈호강 제대로 함 ㅠㅜ 정말이지 파일럿은 아무나 하는게 아닌거같음.
145	10	2019.12.31 22:33	백두산은 여기 갇다 대지도 못합니다. 정말 보는내내 정신통일 하면서 본 영화는 올해 이영화가 처음입니다. 그만큼 집중력을 주는 걸작입니다. 진주만은 지루한 멜로가 전부였다면 , 이 영화는 거의 전투씬이 대부분입니다. 지루할 틈이 없습니다. 왕 추천입니다. 
146	10	2019.12.31 22:18	독립 시켜주셔서 감사합니다...
147	9	2019.12.31 17:30	야 니들 눈깔엔 미드웨이보다 백두산이 재밌냐?ㅋㅋ 그러고도 니가 사람이냐?ㅋㅈㅋ 아메나, 짚신벌레도 미드웨이가 더 재밌다고한다. 그리고 제작비가 수천배에 감독이 에머리히다! 한국허접영화랑 이런 헐리웃대작걸작들이 같은 관람료 받는게 합당하냐? 토나옴 
148	10	2019.12.31 23:27	백두산은 영화관에서 사라져주세요
149	10	2019.12.31 21:37	미드웨이 상영관을 진짜 늘려야된다. 영화 순위 1위할만 함. 백두산은..왜...1윈겨?
150	10	2020.01.02 00:24	보는내내 흥미진진했어요.스릴있고 재미나게 봤습니다.
151	10	2019.12.31 20:23	우리 나라 전쟁도 아니었지만, 저 전쟁 계기로 태평양 전쟁의 주도권이 바뀌고 일제가 패망하게 되었다니... 어떻게 보면, 그러한 희생 덕분에 우리가 이렇게 독립을 누릴 수 있었던 것 같아서 많이 감동하고 많이 울었습니다. 떠나서 잔혹한 전체주의, 제국주의의 망령으로부터 조국고 평화를 지켜내기 위해서 싸운 군인들을 위해 항상 감사한 마음을 가져야겠습니다. 
152	10	2019.12.31 16:48	2019년 본 최고의 영화
153	10	2019.12.31 17:44	백두산의 악역 미국의 대한민국 광복시키기
154	9	2019.12.31 15:35	토트넘 라멜라가 계속보인다! 그리고 재미 있다. 백두산 때문에 큰 상영관에서 못 본게 화가남
155	10	2020.01.01 12:55	다큐보는 느낌 가감없이 팩트만 나열함 주조연 가릴거 없이 람보전투없이 죽는 사람은 다죽는다
156	10	2020.01.05 13:35	미드웨이해전을 제대로 묘사했음니미츠제독과 우디해럴슨 싱크로 ㅎㄷㄷ 영웅을 만들어내고 기억할 줄 아는 제복입은 자들에대한 존경이 깊게배어있는 영화아직도 미국이 최강국인 이유중 하나겠지 다떠나서 너무나 재미있다.
157	10	2020.01.04 15:12	가만히 있는 미국을 건드린 멍청한 일본의 최후...
158	8	2020.01.01 16:18	한마디로 미국식명량
159	10	2019.12.31 17:56	억지 감동팔이 없고 전개 빠르고 손에 땀을 쥐는 전투씬한국영화 보다가 이거 보면 클라스가 다름을 느낌
160	10	2019.12.31 10:49	뜨거워지는영화 정말 좋았네요
161	10	2020.01.01 12:35	백두산? 풉. 미드웨이봐라. 영화다운 영화를 봐야지.
162	10	2020.01.01 22:59	짜릿함. 일장기 가운데 큰 폭탄 떨굴때... 후련해짐! 그거 보러라도 꼭 가세요.
163	10	2019.12.31 20:34	미쳤어요... 정말 돈 하나도 안아까워요 전쟁영화 별로 안좋아하는데도 감동도 있고 화려하고 너무너무 잘봤어요 정말 ㅠㅠ
164	10	2020.01.01 15:50	간만에 속이 뚫리는 전투영화 잘 봤습니다~일본은 전 세계적으로 민폐를 가장많이 끼친나라~혼쭐을 한번 더 내줘야합니다^^
165	10	2019.12.31 23:54	미화됬다는 인간들은 역사에 대해 알긴하나..진짜 백두산 스크린 대폭 줄이고 미드웨이 상영관 대폭 늘려라...스크린 독점 역겹다 진짜
166	10	2019.12.31 23:50	영화에서 바비킴을 보았어요, 시간가는줄 모르고 봤네요 ㅋ 대사 하나하나 멋있어요
